1984.jpeg,/content/drive/MyDrive/ColabNotebooks/Images/1984.jpeg,1984
1984.jpeg,/content/drive/MyDrive/ColabNotebooks/Images/1984.jpeg,"So can't you see me standing here? I've got my back against the record machine I ain't the worst that you've seen Oh, can't you see what I mean? Ah, might as well jump (Jump!) Go ahead and jump"
1984.jpeg,/content/drive/MyDrive/ColabNotebooks/Images/1984.jpeg,"Don't you know she's coming home to me? You'll lose her in the turn I'll get her, ah! Uh-oh Panama, Panama, Panama, ah Panama, oh-oh-oh-oh Woo!"
1984.jpeg,/content/drive/MyDrive/ColabNotebooks/Images/1984.jpeg,"You know that you want it I know what you need You know that you want it, baby When the night is through, will I still be loving you?"
1984.jpeg,/content/drive/MyDrive/ColabNotebooks/Images/1984.jpeg,I'll wait till your love comes down I'm coming straight for your heart No way you can stop me now As fine as you are
1984.jpeg,/content/drive/MyDrive/ColabNotebooks/Images/1984.jpeg,"I think of all the education that I missed But then my homework was never quite like this Whoa, got it bad, got it bad, got it bad I'm hot for teacher I've got it bad, so bad I'm hot for teacher Wha-oh"
1984.jpeg,/content/drive/MyDrive/ColabNotebooks/Images/1989.jpeg,"Some friends of mine, just the other night Went to hear this cool cat blow The say he sang so good that the roof fell in, and they didn't even stop the show They don't remember the place, but they remember the face, and now everybody wanna go"
1989.jpeg,/content/drive/MyDrive/ColabNotebooks/Images/1989.jpeg,1989
1989.jpeg,/content/drive/MyDrive/ColabNotebooks/Images/1989.jpeg,"Welcome to New York, it's been waiting for you Welcome to New York, welcome to New York It's a new soundtrack, I could dance to this beat, beat, forevermore The lights are so bright but they never blind me, me"
1989.jpeg,/content/drive/MyDrive/ColabNotebooks/Images/1989.jpeg,"Cause we're young and we're reckless We'll take this way too far It'll leave you breathless, hmm Or with a nasty scar Got a long list of ex-lovers They'll tell you I'm insane But I've got a blank space, baby And I'll write your name"
1989.jpeg,/content/drive/MyDrive/ColabNotebooks/Images/1989.jpeg,"You got that long hair, slicked back, white t-shirt And I got that good girl faith and a tight little skirt And when we go crashing down, we come back every time 'Cause we never go out of style, we never go out of style"
1989.jpeg,/content/drive/MyDrive/ColabNotebooks/Images/1989.jpeg,"Cause the players gonna play, play, play, play, play And the haters gonna hate, hate, hate, hate, hate Baby, I'm just gonna shake, shake, shake, shake, shake I shake it off, I shake it off"
